domain,oaire_result_type,works
publications.eng.cam.ac.uk,publication,128
www.osti.gov,publication,128
centaur.reading.ac.uk,publication,125
psyarxiv.com,publication,125
www.tara.tcd.ie,publication,125
arizona.pure.elsevier.com,publication,123
kops.uni-konstanz.de,publication,122
www.atmos-chem-phys.net,publication,122
pure.rug.nl,publication,121
researchonline.lshtm.ac.uk,publication,120
iris.unito.it,publication,117
prodinra.inra.fr,publication,117
www.hal.inserm.fr,publication,117
dial.uclouvain.be,publication,116
rupress.org,publication,115
repository.gsi.de,publication,113
www.hzdr.de,publication,113
research-information.bristol.ac.uk,publication,112
besjournals.onlinelibrary.wiley.com,publication,110
kar.kent.ac.uk,publication,110
tel.archives-ouvertes.fr,publication,110
brill.com,publication,109
discovery.dundee.ac.uk,publication,109
www.ahajournals.org,publication,109
dumas.ccsd.cnrs.fr,publication,108
pub.uni-bielefeld.de,publication,108
phaidra.univie.ac.at,publication,106
pos.sissa.it,publication,106
refubium.fu-berlin.de,publication,106
repository.uantwerpen.be,publication,106
researchportal.hw.ac.uk,publication,106
resolver.sub.uni-goettingen.de,publication,106
strathprints.strath.ac.uk,publication,106
research.tilburguniversity.edu,publication,105
dspace.mit.edu,publication,103
mdanderson.elsevierpure.com,publication,103
collaborate.princeton.edu,publication,101
pureportal.strath.ac.uk,publication,101
ntnuopen.ntnu.no,publication,100
www.research.unipd.it,publication,100
eprints.lse.ac.uk,publication,99
gfzpublic.gfz-potsdam.de,publication,98
nbn-resolving.de,publication,98
pure-oai.bham.ac.uk,publication,98
tandfonline.com,publication,98
www.ssrn.com,publication,97
dash.harvard.edu,publication,96
umu.diva-portal.org,publication,94
www.annualreviews.org,publication,94
publikationen.uni-tuebingen.de,publication,93
www.cabdirect.org,publication,93
nrs.harvard.edu,publication,92
openaccess.leidenuniv.nl,publication,91
www.worldscientific.com,publication,90
nph.onlinelibrary.wiley.com,publication,87
researchbank.swinburne.edu.au,publication,87
edepot.wur.nl,publication,86
epjc.epj.org,publication,86
cronfa.swan.ac.uk,publication,85
scipost.org,publication,85
riunet.upv.es,publication,84
tubiblio.ulb.tu-darmstadt.de,publication,84
www.ams.org,publication,84
opus.bibliothek.uni-wuerzburg.de,publication,83
novaresearch.unl.pt,publication,82
pure.tue.nl,publication,82
works.bepress.com,publication,82
eprints.keele.ac.uk,publication,81
nbn-resolving.org,publication,81
arxiv-export-lb.library.cornell.edu,publication,80
asu.pure.elsevier.com,publication,80
flore.unifi.it,publication,80
oceanrep.geomar.de,publication,80
www.dspace.cam.ac.uk,publication,80
www.immunology.ox.ac.uk,publication,80
dspace.stir.ac.uk,publication,79
oparu.uni-ulm.de,publication,77
www.europepmc.org,publication,77
brage.bibsys.no,publication,76
data.mendeley.com,publication,76
eprint.iacr.org,publication,76
epub.uni-regensburg.de,publication,76
www.rdm.ox.ac.uk,publication,76
publishup.uni-potsdam.de,publication,75
pure.iiasa.ac.at,publication,75
researchrepository.ucd.ie,publication,74
cdm21054.contentdm.oclc.org,publication,73
jhu.pure.elsevier.com,publication,73
repositorio.uam.es,publication,73
staging.orbit.dtic.dk,publication,72
www.bib.irb.hr,publication,71
bora.uib.no,publication,70
hal.umontpellier.fr,publication,70
es.arxiv.org,publication,69
iris.uniroma3.it,publication,69
nrl.northumbria.ac.uk,publication,69
publikationen.ub.uni-frankfurt.de,publication,69
kth.diva-portal.org,publication,68
depositonce.tu-berlin.de,publication,67
iris.unipv.it,publication,67
purehost.bath.ac.uk,publication,67
repositorium.sdum.uminho.pt,publication,67
research.wur.nl,publication,67
www.thelancet.com,publication,67
hal-univ-tlse3.archives-ouvertes.fr,publication,66
hal.univ-lille.fr,publication,66
www.cardioscience.ox.ac.uk,publication,66
NA,publication,66
epn-library.esrf.fr,publication,65
eprints.ncl.ac.uk,publication,65
rss.onlinelibrary.wiley.com,publication,65
ir.cwi.nl,publication,64
uhra.herts.ac.uk,publication,63
rua.ua.es,publication,62
s3-eu-west-1.amazonaws.com,publication,62
www.documentation.ird.fr,publication,62
www.journals.uchicago.edu,publication,62
www.researchwithnj.com,publication,62
hal-univ-rennes1.archives-ouvertes.fr,publication,61
idus.us.es,publication,61
pennstate.pure.elsevier.com,publication,61
sofi-northwestern.pure.elsevier.com,publication,61
chemrxiv.org,publication,60
epubs.surrey.ac.uk,publication,60
pesquisa.bvs.br,publication,60
www.ijcai.org,publication,60
arpi.unipi.it,publication,59
bibliographie.uni-tuebingen.de,publication,59
hal.laas.fr,publication,59
oro.open.ac.uk,publication,59
www.ifs.org.uk,publication,59
repozitorij.uni-lj.si,publication,58
www.forskningsdatabasen.dk,publication,58
www.jneurosci.org,publication,58
orcid.org,publication,57
pureadmin.qub.ac.uk,publication,57
sociorepec.org,publication,57
archimer.ifremer.fr,publication,56
aspace.repository.cam.ac.uk,publication,56
gmd.copernicus.org,publication,56
hal-cnrs.archives-ouvertes.fr,publication,56
iris.univr.it,publication,56
journals.openedition.org,publication,56
espace.curtin.edu.au,publication,55
hal.univ-grenoble-alpes.fr,publication,55
psycnet.apa.org,publication,55
jultika.oulu.fi,publication,54
publications.lib.chalmers.se,publication,54
ris.utwente.nl,publication,54
www.medrxiv.org,publication,54
abdn.pure.elsevier.com,publication,53
emboj.embopress.org,publication,53
eprints.bbk.ac.uk,publication,53
repository.kaust.edu.sa,publication,53
dev.biologists.org,publication,52
digital.library.adelaide.edu.au,publication,52
journals.lww.com,publication,52
tue-staging.elsevierpure.com,publication,52
kups.ub.uni-koeln.de,publication,51
orca-mwe.cf.ac.uk,publication,51
www.safetylit.org,publication,51
cris.vtt.fi,publication,50
opus4.kobv.de,publication,50
repositorio.uchile.cl,publication,50
researchers.unab.cl,publication,50
www.mitpressjournals.org,publication,50
www.preprints.org,publication,50
www.repo.uni-hannover.de,publication,50
www3.rcsb.org,publication,50
eref.uni-bayreuth.de,publication,49
eric.ed.gov,publication,49
opus.bibliothek.uni-augsburg.de,publication,49
philsci-archive.pitt.edu,publication,49
www.econstor.eu,publication,49
ashpublications.org,publication,48
genomebiology.biomedcentral.com,publication,48
pubs.geoscienceworld.org,publication,48
scinapse.io,publication,48
www.ems-ph.org,publication,48
www.eurecom.fr,publication,48
www.nber.org,publication,48
clok.uclan.ac.uk,publication,47
hal-polytechnique.archives-ouvertes.fr,publication,47
journals.ametsoc.org,publication,47
publications.cispa.saarland,publication,47
www.ingentaconnect.com,publication,47
www.microsoft.com,publication,47
esajournals.onlinelibrary.wiley.com,publication,46
leicester.figshare.com,publication,46
www.cemmap.ac.uk,publication,46
www.dpag.ox.ac.uk,publication,46
www.jbc.org,publication,46
www.liebertpub.com,publication,46
www.psy.ox.ac.uk,publication,46
www.vliz.be,publication,46
xxx.arxiv.org,publication,46
zippy.ifs.org.uk,publication,46
art.torvergata.it,publication,45
arts.units.it,publication,45
estudogeral.sib.uc.pt,publication,45
fis-uhz.de,publication,45
frontiersin.figshare.com,publication,45
lra.le.ac.uk,publication,45
oatao.univ-toulouse.fr,publication,45
openlib.tugraz.at,publication,45
socionet.ru,publication,45
srodev.sussex.ac.uk,publication,45
trepo.tuni.fi,publication,45
goedoc.uni-goettingen.de,publication,44
iris.uniroma1.it,publication,44
kyushu-u.pure.elsevier.com,publication,44
lilloa.univ-lille.fr,publication,44
repository.essex.ac.uk,publication,44
www.ndorms.ox.ac.uk,publication,44
www4.rcsb.org,publication,44
addi.ehu.es,publication,43
cora.ucc.ie,publication,43
dissem.in,publication,43
ecite.utas.edu.au,publication,43
election2017.ifs.org.uk,publication,43
erepo.uef.fi,publication,43
londmathsoc.onlinelibrary.wiley.com,publication,43
old.inspirehep.net,publication,43
osapublishing.figshare.com,publication,43
www.geosci-model-dev.net,publication,43
www.muni.cz,publication,43
hal.univ-lorraine.fr,publication,42
iris.unimore.it,publication,42
repository.ist.ac.at,publication,42
ris.uni-paderborn.de,publication,42
sfamjournals.onlinelibrary.wiley.com,publication,42
www.bdi.ox.ac.uk,publication,42
www.geosci-model-dev-discuss.net,publication,42
yonsei.pure.elsevier.com,publication,42
aura.abdn.ac.uk,publication,41
bg.copernicus.org,publication,41
bv.fapesp.br,publication,41
covid19.elsevierpure.com,publication,41
eprints.lincoln.ac.uk,publication,41
hss-opus.ub.ruhr-uni-bochum.de,publication,41
jcb.rupress.org,publication,41
journals.iucr.org,publication,41
minerva-access.unimelb.edu.au,publication,41
repisalud.isciii.es,publication,41
repozitorij.pmf.unizg.hr,publication,41
ri.conicet.gov.ar,publication,41
epic.awi.de,publication,40
www.epj-conferences.org,publication,40
www.kennedy.ox.ac.uk,publication,40
archive.materialscloud.org,publication,39
digitalscholarship.unlv.edu,publication,39
drops.dagstuhl.de,publication,39
library.oapen.org,publication,39
repository.icr.ac.uk,publication,39
www.physiology.org,publication,39
bmcbiol.biomedcentral.com,publication,38
election2015.ifs.org.uk,publication,38
journals.physiology.org,publication,38
m.nber.org,publication,38
msp.org,publication,38
ntrs.nasa.gov,publication,38
www.cheric.org,publication,38
www.oapen.org,publication,38
www.thieme-connect.de,publication,38
cp.copernicus.org,publication,37
eprints.utas.edu.au,publication,37
jov.arvojournals.org,publication,37
research.unipg.it,publication,37
rmets.onlinelibrary.wiley.com,publication,37
roderic.uv.es,publication,37
www.ndcn.ox.ac.uk,publication,37
cancerres.aacrjournals.org,publication,36
imis.nioz.nl,publication,36
insights.ovid.com,publication,36
intr2dok.vifa-recht.de,publication,36
jcs.biologists.org,publication,36
openaccess.sgul.ac.uk,publication,36
publications.uni.lu,publication,36
tse-fr.eu,publication,36
utsouthwestern.pure.elsevier.com,publication,36
www.elsa-project.ac.uk,publication,36
www.imm.ox.ac.uk,publication,36
www.researchsquare.com,publication,36
www.thieme-connect.com,publication,36
www.well.ox.ac.uk,publication,36
aran.library.nuigalway.ie,publication,35
dipot.ulb.ac.be,publication,35
engrxiv.org,publication,35
febs.onlinelibrary.wiley.com,publication,35
pubs.aeaweb.org,publication,35
univoak.eu,publication,35
www.archives-ouvertes.fr,publication,35
aaai.org,publication,34
arizona.openrepository.com,publication,34
bird.bcamath.org,publication,34
busqueda.bvsalud.org,publication,34
dk.upce.cz,publication,34
dr.ntu.edu.sg,publication,34
eartharxiv.org,publication,34
iris.unive.it,publication,34
peerj.com,publication,34
portlandpress.com,publication,34
www.aeaweb.org,publication,34
asa.scitation.org,publication,33
e-archivo.uc3m.es,publication,33
koasas.kaist.ac.kr,publication,33
repositorio.unicamp.br,publication,33
agritrop.cirad.fr,publication,32
basepub.dauphine.fr,publication,32
downloads.hindawi.com,publication,32
mbio.asm.org,publication,32
munin.uit.no,publication,32
opus.lib.uts.edu.au,publication,32
scripts.iucr.org,publication,32
www.aimsciences.org,publication,32
www.hindawi.com,publication,32
dspace.uib.no,publication,31
fulir.irb.hr,publication,31
hal.uca.fr,publication,31
plos.figshare.com,publication,31
su.diva-portal.org,publication,31
uni-salzburg.elsevierpure.com,publication,31
www.oncotarget.com,publication,31
amt.copernicus.org,publication,30
easychair.org,publication,30
fis-uke.de,publication,30
genome.cshlp.org,publication,30
manuscript.elsevier.com,publication,30
publicatt.unicatt.it,publication,30
repository.publisso.de,publication,30
www.biogeosciences-discuss.net,publication,30
www.essoar.org,publication,30
www.ndph.ox.ac.uk,publication,30
www.win.ox.ac.uk,publication,30
dro.deakin.edu.au,publication,29
ir.arcnl.nl,publication,29
minerva.usc.es,publication,29
openaccess.city.ac.uk,publication,29
publi2-as.oma.be,publication,29
repositorio-aberto.up.pt,publication,29
www.biogeosciences.net,publication,29
www.bloodjournal.org,publication,29
www.fedoa.unina.it,publication,29
www.ndm.ox.ac.uk,publication,29
aoip.osa.org,publication,28
cadmus.eui.eu,publication,28
e-spacio.uned.es,publication,28
eplus.uni-salzburg.at,publication,28
eprints.qut.edu.au,publication,28
hal.in2p3.fr,publication,28
hull-repository.worktribe.com,publication,28
ohsu.pure.elsevier.com,publication,28
opensky.ucar.edu,publication,28
sedici.unlp.edu.ar,publication,28
stm.sciencemag.org,publication,28
www.jove.com,publication,28
www.scipedia.com,publication,28
www.ssoar.info,publication,28
doi.crossref.org,publication,27
escholarship.umassmed.edu,publication,27
hal-obspm.ccsd.cnrs.fr,publication,27
hal.telecom-paris.fr,publication,27
id.nii.ac.jp,publication,27
jamanetwork.com,publication,27
keio.pure.elsevier.com,publication,27
research.bangor.ac.uk,publication,27
ucdavis.pure.elsevier.com,publication,27
www.researchgate.net,publication,27
www1.rcsb.org,publication,27
hal-centralesupelec.archives-ouvertes.fr,publication,26
iris.sissa.it,publication,26
is.muni.cz,publication,26
miami.pure.elsevier.com,publication,26
pearl.plymouth.ac.uk,publication,26
proxy.osapublishing.org,publication,26
publications.hse.ru,publication,26
researchportal.northumbria.ac.uk,publication,26
ro.uow.edu.au,publication,26
rstb.royalsocietypublishing.org,publication,26
storre.stir.ac.uk,publication,26
www.plantphysiol.org,publication,26
ard.bmj.com,publication,25
diglib.eg.org,publication,25
hub.hku.hk,publication,25
iris.unica.it,publication,25
koreauniv.pure.elsevier.com,publication,25
linkinghub.elsevier.com,publication,25
liu.diva-portal.org,publication,25
palgrave.nature.com,publication,25
researchonline.jcu.edu.au,publication,25
spire.sciencespo.fr,publication,25
wellcomeopenresearch.org,publication,25
www.genetics.org,publication,25
www.infona.pl,publication,25
www.jimmunol.org,publication,25
www.microbiologyresearch.org,publication,25
www.plantcell.org,publication,25
www.taylorfrancis.com,publication,25
br.arxiv.org,publication,24
embor.embopress.org,publication,24
insight.jci.org,publication,24
iris.unipa.it,publication,24
pure.unipa.it,publication,24
researchonline.rvc.ac.uk,publication,24
run.unl.pt,publication,24
search.bvsalud.org,publication,24
tc.copernicus.org,publication,24
www.eneuro.org,publication,24
www.psych.ox.ac.uk,publication,24
bmcmedicine.biomedcentral.com,publication,23
essd.copernicus.org,publication,23
estudogeral.uc.pt,publication,23
genesdev.cshlp.org,publication,23
gnosis.library.ucy.ac.cy,publication,23
hcommons.org,publication,23
ir.amolf.nl,publication,23
istina.msu.ru,publication,23
publications.jrc.ec.europa.eu,publication,23
sigport.org,publication,23
www.computer.org,publication,23
aperta.ulakbim.gov.tr,publication,22
arthritis-research.biomedcentral.com,publication,22
bura.brunel.ac.uk,publication,22
content.iospress.com,publication,22
eprints.uni-kiel.de,publication,22
hal-lirmm.ccsd.cnrs.fr,publication,22
iris.unical.it,publication,22
iris.unige.it,publication,22
mayoclinic.pure.elsevier.com,publication,22
opinvisindi.is,publication,22
profiles.wustl.edu,publication,22
publications.ut-capitole.fr,publication,22
springernature.figshare.com,publication,22
www.atmos-meas-tech-discuss.net,publication,22
www.crystallography.net,publication,22
academiccommons.columbia.edu,publication,21
bmcgenomics.biomedcentral.com,publication,21
eg.uc.pt,publication,21
eprints.esc.cam.ac.uk,publication,21
experts.syr.edu,publication,21
goescholar.uni-goettingen.de,publication,21
hal-upec-upem.archives-ouvertes.fr,publication,21
hal.univ-nantes.fr,publication,21
nau.pure.elsevier.com,publication,21
pubpeer.com,publication,21
qa-pubman.mpdl.mpg.de,publication,21
research-repository.griffith.edu.au,publication,21
researchdata.gla.ac.uk,publication,21
www.atmos-meas-tech.net,publication,21
www.clim-past.net,publication,21
www.ndmrb.ox.ac.uk,publication,21
aclanthology.info,publication,20
content.sciendo.com,publication,20
digibug.ugr.es,publication,20
embomolmed.embopress.org,publication,20
eprints.sztaki.hu,publication,20
iris.unitn.it,publication,20
kr.arxiv.org,publication,20
locus.siam.org,publication,20
push-zb.helmholtz-muenchen.de,publication,20
repositorio.ul.pt,publication,20
search.datacite.org,publication,20
tud.qucosa.de,publication,20
unipub.uni-graz.at,publication,20
www.beilstein-journals.org,publication,20
www.camsoxford.ox.ac.uk,publication,20
www.clim-past-discuss.net,publication,20
www.futuremedicine.com,publication,20
www.haematologica.org,publication,20
www.karger.com,publication,20
www.questia.com,publication,20
www2.rcsb.org,publication,20
aslopubs.onlinelibrary.wiley.com,publication,19
ci.nii.ac.jp,publication,19
digital-library.theiet.org,publication,19
dugi-doc.udg.edu,publication,19
einstein.pure.elsevier.com,publication,19
eprints.soas.ac.uk,publication,19
epub.wu.ac.at,publication,19
hal-enpc.archives-ouvertes.fr,publication,19
hal-univ-lyon1.archives-ouvertes.fr,publication,19
hal.univ-cotedazur.fr,publication,19
muse.jhu.edu,publication,19
pure.uhi.ac.uk,publication,19
rsa.tandfonline.com,publication,19
rspb.royalsocietypublishing.org,publication,19
wrap-test.warwick.ac.uk,publication,19
www.cairn.info,publication,19
www.jenner.ac.uk,publication,19
www.lume.ufrgs.br,publication,19
aem.asm.org,publication,18
bmcbioinformatics.biomedcentral.com,publication,18
christie.openrepository.com,publication,18
di.umons.ac.be,publication,18
gut.bmj.com,publication,18
hal-ens.archives-ouvertes.fr,publication,18
kms.shanghaitech.edu.cn,publication,18
meetingorganizer.copernicus.org,publication,18
n.neurology.org,publication,18
online.ucpress.edu,publication,18
publikationen.sulb.uni-saarland.de,publication,18
pure.hud.ac.uk,publication,18
repositorio.unican.es,publication,18
repository.bilkent.edu.tr,publication,18
repository.cshl.edu,publication,18
tuprints.ulb.tu-darmstadt.de,publication,18
uhdspace.uhasselt.be,publication,18
ulir.ul.ie,publication,18
usiena-air.unisi.it,publication,18
www.cepr.org,publication,18
www.cosic.esat.kuleuven.be,publication,18
www.demographic-research.org,publication,18
www.gastrojournal.org,publication,18
www.int-arch-photogramm-remote-sens-spatial-inf-sci.net,publication,18
www.iris.unisa.it,publication,18
www.oncology.ox.ac.uk,publication,18
www.pdbusa.org,publication,18
www.the-cryosphere.net,publication,18
aca.scitation.org,publication,17
angeo.copernicus.org,publication,17
berghahnjournals.com,publication,17
bioinformatics.sdsc.edu,publication,17
clincancerres.aacrjournals.org,publication,17
digitalcommons.wustl.edu,publication,17
dspace.lib.cranfield.ac.uk,publication,17
dukespace.lib.duke.edu,publication,17
eprintspublications.npl.co.uk,publication,17
epub.jku.at,publication,17
fhi.brage.unit.no,publication,17
immunology.sciencemag.org,publication,17
medrxiv.org,publication,17
msb.embopress.org,publication,17
msystems.asm.org,publication,17
mural.maynoothuniversity.ie,publication,17
par.nsf.gov,publication,17
physoc.onlinelibrary.wiley.com,publication,17
publications.aston.ac.uk,publication,17
pubsonline.informs.org,publication,17
pureportal.coventry.ac.uk,publication,17
quantum-journal.org,publication,17
repository.kulib.kyoto-u.ac.jp,publication,17
researchoutput.ncku.edu.tw,publication,17
researchspace.auckland.ac.nz,publication,17
ria.ua.pt,publication,17
scholars.houstonmethodist.org,publication,17
swepub.kb.se,publication,17
www.berghahnjournals.com,publication,17
www.bv.fapesp.br,publication,17
www.growkudos.com,publication,17
www.ifs.ac.uk,publication,17
www.life-science-alliance.org,publication,17
www.mysciencework.com,publication,17
alz-journals.onlinelibrary.wiley.com,publication,16
e-space.mmu.ac.uk,publication,16
epljournal.edpsciences.org,publication,16
idpjournal.biomedcentral.com,publication,16
mra.asm.org,publication,16
oa.upm.es,publication,16
open.library.emory.edu,publication,16
philarchive.org,publication,16
prod--journal.elifesciences.org,publication,16
pure.tudelft.nl,publication,16
qa-eprints.qut.edu.au,publication,16
repozitorij.unizg.hr,publication,16
research.google,publication,16
rsos.royalsocietypublishing.org,publication,16
waseda.pure.elsevier.com,publication,16
www.internationaljournalofcardiology.com,publication,16
www.medanthrotheory.org,publication,16
www.the-cryosphere-discuss.net,publication,16
aasldpubs.onlinelibrary.wiley.com,publication,15
alzres.biomedcentral.com,publication,15
anthrosource.onlinelibrary.wiley.com,publication,15
ascelibrary.org,publication,15
eprints.cs.univie.ac.at,publication,15
f1000research.com,publication,15
hal-normandie-univ.archives-ouvertes.fr,publication,15
ikee.lib.auth.gr,publication,15
iris.unibs.it,publication,15
library.seg.org,publication,15
portal.dnb.de,publication,15
