data_source_id,subjects
opendoar____::7e7757b1e12abcb736ab9a754ffb617a,Computers and IT
opendoar____::7e7757b1e12abcb736ab9a754ffb617a,Fine and Performing Arts
opendoar____::7e7757b1e12abcb736ab9a754ffb617a,History and Archaeology
opendoar____::7e7757b1e12abcb736ab9a754ffb617a,Language and Literature
opendoar____::7e7757b1e12abcb736ab9a754ffb617a,Philosophy and Religion
opendoar____::7e7757b1e12abcb736ab9a754ffb617a,Social Sciences General
opendoar____::7e7757b1e12abcb736ab9a754ffb617a,Business and Economics
opendoar____::7e7757b1e12abcb736ab9a754ffb617a,Education
opendoar____::7e7757b1e12abcb736ab9a754ffb617a,Law and Politics
opendoar____::7e7757b1e12abcb736ab9a754ffb617a,Library and Information Science
opendoar____::7e7757b1e12abcb736ab9a754ffb617a,Psychology
opendoar____::1534b76d325a8f591b52d302e7181331,"{""Computers and IT"",""Library and Information Science""}"
opendoar____::0efe32849d230d7f53049ddc4a4b0c60,Multidisciplinary
opendoar____::bc6dc48b743dc5d013b1abaebd2faed2,Multidisciplinary
opendoar____::cd00692c3bfe59267d5ecfac5310286c,Multidisciplinary
opendoar____::88855547570f7ff053fff7c54e5148cc,Multidisciplinary
opendoar____::7bccfde7714a1ebadf06c5f4cea752c1,Multidisciplinary
opendoar____::1aa057313c28fa4a40c5bc084b11d276,Multidisciplinary
opendoar____::fe9fc289c3ff0af142b6d3bead98a923,Multidisciplinary
opendoar____::fe9fc289c3ff0af142b6d3bead98a923,Health and Medicine
opendoar____::fe9fc289c3ff0af142b6d3bead98a923,Business and Economics
opendoar____::fe9fc289c3ff0af142b6d3bead98a923,Law and Politics
re3data_____::8ac60f4c88018b79a528ceb336266c6b,Engineering Sciences
re3data_____::8ac60f4c88018b79a528ceb336266c6b,Materials Science and Engineering
re3data_____::8ac60f4c88018b79a528ceb336266c6b,"Computer Science, Electrical and System Engineering"
re3data_____::8ac60f4c88018b79a528ceb336266c6b,Construction Engineering and Architecture
re3data_____::8ac60f4c88018b79a528ceb336266c6b,Chemistry
re3data_____::8ac60f4c88018b79a528ceb336266c6b,Physics
re3data_____::8ac60f4c88018b79a528ceb336266c6b,Mathematics
re3data_____::8ac60f4c88018b79a528ceb336266c6b,Geosciences (including Geography)
re3data_____::8ac60f4c88018b79a528ceb336266c6b,Life Sciences
re3data_____::8ac60f4c88018b79a528ceb336266c6b,Biology
re3data_____::8ac60f4c88018b79a528ceb336266c6b,Medicine
re3data_____::8ac60f4c88018b79a528ceb336266c6b,"Agriculture, Forestry, Horticulture and Veterinary Medicine"
re3data_____::8ac60f4c88018b79a528ceb336266c6b,Humanities and Social Sciences
re3data_____::8ac60f4c88018b79a528ceb336266c6b,Social and Behavioural Sciences
re3data_____::8ac60f4c88018b79a528ceb336266c6b,Economics
re3data_____::8ac60f4c88018b79a528ceb336266c6b,Natural Sciences
openaire____::fdb035c8b3e0540a8d9a561a6c44f4de,{NULL}
opendoar____::c9f95a0a5af052bffce5c89917335f67,Multidisciplinary
opendoar____::c9f95a0a5af052bffce5c89917335f67,Science General
opendoar____::c9f95a0a5af052bffce5c89917335f67,"Agriculture, Food and Veterinary"
opendoar____::c9f95a0a5af052bffce5c89917335f67,Biology and Biochemistry
opendoar____::c9f95a0a5af052bffce5c89917335f67,Chemistry and Chemical Technology
opendoar____::c9f95a0a5af052bffce5c89917335f67,Ecology and Environment
opendoar____::c9f95a0a5af052bffce5c89917335f67,Physics and Astronomy
opendoar____::c9f95a0a5af052bffce5c89917335f67,Mechanical Engineering and Materials
opendoar____::c9f95a0a5af052bffce5c89917335f67,Arts and Humanities General
opendoar____::c9f95a0a5af052bffce5c89917335f67,Social Sciences General
opendoar____::3a066bda8c96b9478bb0512f0a43028c,Biology and Biochemistry
opendoar____::3a066bda8c96b9478bb0512f0a43028c,Chemistry and Chemical Technology
opendoar____::3a066bda8c96b9478bb0512f0a43028c,Ecology and Environment
opendoar____::3a066bda8c96b9478bb0512f0a43028c,Mathematics and Statistics
opendoar____::3a066bda8c96b9478bb0512f0a43028c,Physics and Astronomy
opendoar____::3a066bda8c96b9478bb0512f0a43028c,Health and Medicine
opendoar____::3a066bda8c96b9478bb0512f0a43028c,Technology General
opendoar____::3a066bda8c96b9478bb0512f0a43028c,Business and Economics
opendoar____::3a066bda8c96b9478bb0512f0a43028c,Management and Planning
opendoar____::af5d5ef24881f3c3049a7b9bfe74d58b,Multidisciplinary
opendoar____::01386bd6d8e091c2ab4c7c7de644d37b,Multidisciplinary
opendoar____::8f19793b2671094e63a15ab883d50137,Multidisciplinary
opendoar____::2723d092b63885e0d7c260cc007e8b9d,Multidisciplinary
opendoar____::acf06cdd9c744f969958e1f085554c8b,Multidisciplinary
opendoar____::71560ce98c8250ce57a6a970c9991a5f,Multidisciplinary
opendoar____::c9892a989183de32e976c6f04e700201,Multidisciplinary
opendoar____::4ad13f04ef4373992c9d3046200aa350,Multidisciplinary
opendoar____::48aedb8880cab8c45637abc7493ecddd,Science General
opendoar____::48aedb8880cab8c45637abc7493ecddd,Technology General
opendoar____::5fef3eff51dc719c4a9f565a742d78f2,Multidisciplinary
opendoar____::b9d487a30398d42ecff55c228ed5652b,Physics and Astronomy
opendoar____::958adb57686c2fdec5796398de5f317a,Multidisciplinary
opendoar____::6a5889bb0190d0211a991f47bb19a777,Multidisciplinary
opendoar____::cb8da6767461f2812ae4290eac7cbc42,Multidisciplinary
opendoar____::26505e0494662534f633586941b77d0c,Multidisciplinary
opendoar____::06a81a4fb98d149f2d31c68828fa6eb2,Multidisciplinary
opendoar____::3a029f04d76d32e79367c4b3255dda4d,Multidisciplinary
opendoar____::72007983849f4fcb0ad565439834756b,Multidisciplinary
opendoar____::52720e003547c70561bf5e03b95aa99f,Multidisciplinary
opendoar____::29c0c0ee223856f336d7ea8052057753,Multidisciplinary
opendoar____::7eabe3a1649ffa2b3ff8c02ebfd5659f,Science General
opendoar____::7eabe3a1649ffa2b3ff8c02ebfd5659f,Mathematics and Statistics
opendoar____::7eabe3a1649ffa2b3ff8c02ebfd5659f,Health and Medicine
opendoar____::7eabe3a1649ffa2b3ff8c02ebfd5659f,Computers and IT
opendoar____::7eabe3a1649ffa2b3ff8c02ebfd5659f,History and Archaeology
opendoar____::7eabe3a1649ffa2b3ff8c02ebfd5659f,Philosophy and Religion
opendoar____::7eabe3a1649ffa2b3ff8c02ebfd5659f,Social Sciences General
opendoar____::7eabe3a1649ffa2b3ff8c02ebfd5659f,Business and Economics
opendoar____::7eabe3a1649ffa2b3ff8c02ebfd5659f,Law and Politics
opendoar____::7eabe3a1649ffa2b3ff8c02ebfd5659f,Psychology
opendoar____::fe73f687e5bc5280214e0486b273a5f9,Multidisciplinary
opendoar____::512fc3c5227f637e41437c999a2d3169,Multidisciplinary
opendoar____::d9731321ef4e063ebbee79298fa36f56,Health and Medicine
opendoar____::0c74b7f78409a4022a2c4c5a5ca3ee19,Multidisciplinary
opendoar____::c5866e93cab1776890fe343c9e7063fb,Multidisciplinary
share_______::598e3a1a3ada06e983f0e3040b6693d6,{NULL}
opendoar____::8a1ee9f2b7abe6e88d1a479ab6a42c5e,Multidisciplinary
opendoar____::97275a23ca44226c9964043c8462be96,Multidisciplinary
opendoar____::fd9dcf1d146272bb05c490d790b6da52,"Agriculture, Food and Veterinary"
opendoar____::fd9dcf1d146272bb05c490d790b6da52,Mathematics and Statistics
opendoar____::fd9dcf1d146272bb05c490d790b6da52,Health and Medicine
opendoar____::fd9dcf1d146272bb05c490d790b6da52,Technology General
opendoar____::fd9dcf1d146272bb05c490d790b6da52,Arts and Humanities General
opendoar____::fd9dcf1d146272bb05c490d790b6da52,Social Sciences General
openaire____::0a836ef43dcb67bb7cbd4dd509b11b73,{NULL}
opendoar____::8f14e45fceea167a5a36dedd4bea2543,Biology and Biochemistry
opendoar____::8f14e45fceea167a5a36dedd4bea2543,Ecology and Environment
opendoar____::8f14e45fceea167a5a36dedd4bea2543,Geography and Regional Studies
opendoar____::1d94108e907bb8311d8802b48fd54b4a,Multidisciplinary
