opendoar_uri,oai_url
https://v2.sherpa.ac.uk/id/repository/150,http://research-collection.ethz.ch/oai
https://v2.sherpa.ac.uk/id/repository/151,http://cadmus.eui.eu/oai/request
https://v2.sherpa.ac.uk/id/repository/152,http://www.fedoa.unina.it/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/153,http://digitalcommons.fiu.edu/do/oai/
https://v2.sherpa.ac.uk/id/repository/156,https://gfzpublic.gfz-potsdam.de/oai
https://v2.sherpa.ac.uk/id/repository/157,http://mars.gmu.edu/oai/request?verb=Identify
https://v2.sherpa.ac.uk/id/repository/162,http://eprints.gla.ac.uk/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/165,https://api.archives-ouvertes.fr/oai/inria
https://v2.sherpa.ac.uk/id/repository/166,https://api.archives-ouvertes.fr/oai/hal
https://v2.sherpa.ac.uk/id/repository/167,http://thesis.haverford.edu/dspace-oai/request
https://v2.sherpa.ac.uk/id/repository/169,http://htpprints.yorku.ca/perl/oai2
https://v2.sherpa.ac.uk/id/repository/172,http://eprints.lib.hokudai.ac.jp/dspace-oai/request
https://v2.sherpa.ac.uk/id/repository/174,http://repository.ust.hk/ir/OAI/Server
https://v2.sherpa.ac.uk/id/repository/177,https://api.archives-ouvertes.fr/oai/halshs
https://v2.sherpa.ac.uk/id/repository/179,http://scholarworks.iupui.edu/oai/request
https://v2.sherpa.ac.uk/id/repository/180,http://dare.uva.nl/cgi/arno/oai/imiscoe
https://v2.sherpa.ac.uk/id/repository/182,http://eprints.iisc.ernet.in/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/185,http://infoscience.epfl.ch/oai2d/
https://v2.sherpa.ac.uk/id/repository/186,http://ethesis.inp-toulouse.fr/perl/oai2
https://v2.sherpa.ac.uk/id/repository/189,https://pure.rug.nl/ws/oai
https://v2.sherpa.ac.uk/id/repository/193,http://scholarworks.iu.edu/dspace-oai/request
https://v2.sherpa.ac.uk/id/repository/194,http://jdc.jefferson.edu/do/oai/
https://v2.sherpa.ac.uk/id/repository/197,http://doks.khk.be/eindwerk/oai
https://v2.sherpa.ac.uk/id/repository/199,http://kups.ub.uni-koeln.de/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/201,http://eprints.lancs.ac.uk/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/202,https://scholarlypublications.universiteitleiden.nl/oai2
https://v2.sherpa.ac.uk/id/repository/203,https://drtc.isibang.ac.in/oai/request
https://v2.sherpa.ac.uk/id/repository/206,http://eprints.lse.ac.uk/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/209,http://dspace.mah.se/oai/request
https://v2.sherpa.ac.uk/id/repository/211,http://edoc.mpg.de/ac_oai.pl
https://v2.sherpa.ac.uk/id/repository/213,http://eprints.mdx.ac.uk/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/214,http://minds.wisconsin.edu/oai/request
https://v2.sherpa.ac.uk/id/repository/218,http://monarch.qucosa.de/oai/
https://v2.sherpa.ac.uk/id/repository/223,http://eprints.maynoothuniversity.ie/cgi/oai2
