reference_evaluation_panel,officialname,oaire_result_type,openairecompatibility,data_source_id,works,projects_with_repo_works,reference_evaluation_panel_title,projects,prop
LS01_REF,Edinburgh Research Explorer,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",opendoar____::512fc3c5227f637e41437c999a2d3169,13,12,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.056338028169014086
LS01_REF,edoc,publication,OpenAIRE Basic (DRIVER OA),opendoar____::8bdb5058376143fa358981954e7626b8,2,2,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.009389671361502348
LS01_REF,Enlighten,publication,collected from a compatible aggregator,opendoar____::82aa4b0af34c2313a562076992e50aa3,17,4,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.018779342723004695
LS01_REF,Erasmus University Institutional Repository,publication,collected from a compatible aggregator,opendoar____::9c3b1830513cc3b8fc4b76635d32e692,14,2,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.009389671361502348
LS01_REF,eScholarship - University of California,publication,OpenAIRE Basic (DRIVER OA),opendoar____::89f0fd5c927d466d6ec9a21b9ac34ffa,8,4,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.018779342723004695
LS01_REF,ETH Zürich Research Collection,publication,"OpenAIRE Data (funded, referenced datasets)",re3data_____::8ac60f4c88018b79a528ceb336266c6b,25,8,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.03755868544600939
LS01_REF,Europe PubMed Central,publication,collected from a compatible aggregator,opendoar____::8b6dd7db9af49e67306feb59a8bdc52c,750,129,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.6056338028169014
LS01_REF,Explore Bristol Research,publication,OpenAIRE Basic (DRIVER OA),opendoar____::f12f2b34a0c3174269c19e21c07dee68,3,2,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.009389671361502348
LS01_REF,Fachrepositorium Lebenswissenschaften,publication,OpenAIRE Basic (DRIVER OA),opendoar____::4b26dc4663ccf960c8538d595d0a1d3a,3,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,FigShare,publication,not available,opendoar____::4b86abe48d358ecf194c56c69108433e,2,2,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.009389671361502348
LS01_REF,Fraunhofer-ePrints,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::00ac8ed3b4327bdd4ebbebcb2ba10a00,2,2,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.009389671361502348
LS01_REF,Ghent University Academic Bibliography,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",opendoar____::fe73f687e5bc5280214e0486b273a5f9,2,2,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.009389671361502348
LS01_REF,HAL,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::7e7757b1e12abcb736ab9a754ffb617a,111,45,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.2112676056338028
LS01_REF,HELDA - Digital Repository of the University of Helsinki,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::06a81a4fb98d149f2d31c68828fa6eb2,20,4,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.018779342723004695
LS01_REF,Helmholtz Zentrum für Infektionsforschung Repository,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::8a3363abe792db2d8761d6403605aeb7,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Hochschulschriftenserver - Universität Frankfurt am Main,publication,OpenAIRE Basic (DRIVER OA),opendoar____::d86ea612dec96096c5e0fcc8dd42ab6d,2,2,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.009389671361502348
LS01_REF,idUS. Depósito de Investigación Universidad de Sevilla,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::79514e888b8f2acacc68738d0cbb803e,18,3,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.014084507042253521
LS01_REF,ILL-ESRF publications,publication,"OpenAIRE 3.0 (OA, funding)",openaire____::c2e8198ce137dc8d1a11eafa1ab30bbf,13,12,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.056338028169014086
LS01_REF,Infoscience - EPFL scientific publications,publication,OpenAIRE PubRepos v4.0,opendoar____::eecca5b6365d9607ee5a9d336962c534,14,11,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.051643192488262914
LS01_REF,Institutional Repository for Molecular Medicine (MDC),publication,OpenAIRE Basic (DRIVER OA),driver______::3d9e79b22f9d9463a39c3654b873d76b,5,3,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.014084507042253521
LS01_REF,IRIS - Institutional Research Information System of the University of Trento,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::72007983849f4fcb0ad565439834756b,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,IRIS - Università degli Studi di Verona,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::c3395dd46c34fa7fd8d729d8cf88b7a8,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,JAIRO,publication,OpenAIRE Basic (DRIVER OA),openaire____::fffd45256148b1de3114788f21179083,4,4,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.018779342723004695
LS01_REF,Juelich Shared Electronic Resources,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::8a1ee9f2b7abe6e88d1a479ab6a42c5e,11,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Jyväskylä University Digital Archive,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::3a029f04d76d32e79367c4b3255dda4d,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,King's Research Portal,publication,OpenAIRE Basic (DRIVER OA),opendoar____::566a9968b43628588e76be5a85a0f9e8,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,KNAW Repository,publication,collected from a compatible aggregator,opendoar____::97275a23ca44226c9964043c8462be96,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Koç University Suna Kıraç Library’s New Digital Collections Portal,publication,OpenAIRE Basic (DRIVER OA),opendoar____::b6e710870acb098e584277457ba89d68,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,LAReferencia - Red Federada de Repositorios Institucionales de Publicaciones Científicas Latinoamericanas,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::dc6e224a8d74ce03bf301152d6e33e97,2,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Leiden University Repository,publication,collected from a compatible aggregator,opendoar____::854d6fae5ee42911677c739ee1734486,5,4,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.018779342723004695
LS01_REF,Lirias,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::fe709c654eac84d5239d1a12a4f71877,8,4,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.018779342723004695
LS01_REF,MediaTUM,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",opendoar____::ebd9629fc3ae5e9f6611e2ee05a31cef,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
