officialname,datasourcetype,openairecompatibility,n,prop
HBO Kennisbank,Institutional Repository Aggregator,collected from a compatible aggregator,2,3.274715918394079e-5
HKU Scholars Hub,Institutional Repository,OpenAIRE Basic (DRIVER OA),2,3.274715918394079e-5
HVL Open,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",2,3.274715918394079e-5
Institutional Repository of the Technical University of Crete (DIAS),Institutional Repository,"OpenAIRE 3.0 (OA, funding)",2,3.274715918394079e-5
IRTA Pubpro,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",2,3.274715918394079e-5
KISTI Open Repository,Publication Repository Aggregator,"OpenAIRE 3.0 (OA, funding)",2,3.274715918394079e-5
OA@INAF - Istituto Nazionale di Astrofisica,Institutional Repository,OpenAIRE Basic (DRIVER OA),2,3.274715918394079e-5
Oldenburger Online Publikations Server,Institutional Repository,OpenAIRE Basic (DRIVER OA),2,3.274715918394079e-5
Open Access Repository,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",2,3.274715918394079e-5
Open Natuur Archief (Open Nature Archive),Publication Repository,OpenAIRE Basic (DRIVER OA),2,3.274715918394079e-5
Papyrus : Dépôt institutionnel - Université de Montréal,Institutional Repository,OpenAIRE PubRepos v4.0,2,3.274715918394079e-5
Propylaeum-DOK,Thematic Repository,OpenAIRE Basic (DRIVER OA),2,3.274715918394079e-5
PRoteomics IDEntifications Database,Data Repository,not available,2,3.274715918394079e-5
Publikationer från Karlstads Universitet,Institutional Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",2,3.274715918394079e-5
Publikationer från Södertörns Högskola,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",2,3.274715918394079e-5
Purdue E-Scholar,Institutional Repository,OpenAIRE Basic (DRIVER OA),2,3.274715918394079e-5
RaY - Research at York St John,Institutional Repository,collected from a compatible aggregator,2,3.274715918394079e-5
Repositório Institucional da UFVJM,Institutional Repository,not available,2,3.274715918394079e-5
Repositorio Institucional de la Universidad de Costa Rica,Institutional Repository,not available,2,3.274715918394079e-5
Repositorio Institucional del Banco de España,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",2,3.274715918394079e-5
Repository of Nicolaus Copernicus University,Institutional Repository,OpenAIRE Basic (DRIVER OA),2,3.274715918394079e-5
reposiTUm,Institutional Repository,OpenAIRE PubRepos v4.0,2,3.274715918394079e-5
RODARE,Data Repository,"OpenAIRE Data (funded, referenced datasets)",2,3.274715918394079e-5
RUIdeRA,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",2,3.274715918394079e-5
Sabanci University Research Database,Institutional Repository,OpenAIRE Basic (DRIVER OA),2,3.274715918394079e-5
"Scientia, Dipòsit d’Informació Digital del Departament de Salut",Publication Repository,"OpenAIRE 3.0 (OA, funding)",2,3.274715918394079e-5
Scientific Electronic Library Online - Chile,Publication Repository Aggregator,OpenAIRE Basic (DRIVER OA),2,3.274715918394079e-5
"SMILE - School of dental Medicine dIgitaL archivE, University of Belgrade",Institutional Repository,"OpenAIRE 3.0 (OA, funding)",2,3.274715918394079e-5
Sunderland University Institutional Repository,Institutional Repository,collected from a compatible aggregator,2,3.274715918394079e-5
TECNALIA Publications,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",2,3.274715918394079e-5
University of Bath Research Data Archive,Data Repository,"OpenAIRE Data (funded, referenced datasets)",2,3.274715918394079e-5
University of Huddersfield Repository,Institutional Repository,collected from a compatible aggregator,2,3.274715918394079e-5
ZHAW digitalcollection,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",2,3.274715918394079e-5
4TU.Centre for Research Data,Data Repository,"OpenAIRE Data (funded, referenced datasets)",1,1.6373579591970396e-5
Access to Research and Communications Annals,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
ACM Digital Library,Publication Repository Aggregator,OpenAIRE 2.0 (EC funding),1,1.6373579591970396e-5
AfricArXiv,Thematic Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
Arca - Repositório Institucional da Fiocruz,Institutional Repository,not available,1,1.6373579591970396e-5
Archive institutionnelle Ifsttar,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
Archive N.E.E.O. U.T.1,Publication Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
Archivio della Ricerca - Università degli Studi di Teramo,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
Archivio istituzionale della ricerca - Università IUAV di Venezia,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
Archivo Climatológico y Meteorológico Institucional de AEMET,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
ArtXiker - @HAL,Thematic Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
Balıkesir University Institutional Repository,Institutional Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
Bezmialem Vakif University Academic Open Access System,Institutional Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
Biblioteca Digital de la Universidad de Alcalá,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
BieColl - Bielefeld Electronic Collections,Institutional Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
"Calhoun, Institutional Archive of the Naval Postgraduate School",Publication Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
CICERO Research Archive,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
citaREA Repositorio Electrónico Agroalimentario,Institutional Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
CorpusUL,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
CyberLeninka - Russian open access scientific library,Publication Repository Aggregator,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
DSpace at Open Universiteit Nederland,Institutional Repository,collected from a compatible aggregator,1,1.6373579591970396e-5
DSpace at Tartu University Library,Institutional Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
Duzce Üniversitesi Akademik Arşiv Sistemi,Institutional Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
EconStor,Thematic Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",1,1.6373579591970396e-5
Education and Research Archive,Institutional Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
Electronic archive of Tomsk Polytechnic University,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
Erciyes University - AVESIS,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
GenderOpen - Repositorium für die Geschlechterforschung,Thematic Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
GEO-LEO e-docs,Thematic Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
"GraFar - Repository of the Faculty of Civil Engineering, University of Belgrade",Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
Hacettepe Üniversitesi Açık Erişim Sistemi,Institutional Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
Heidelberger Dokumentenserver,Institutional Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",1,1.6373579591970396e-5
Hertie School Research Repository,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
Institutional Repository of Nature Research Centre,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
Institutional Repository of the National University of Rio Negro,Institutional Repository,not available,1,1.6373579591970396e-5
IRIS Catalogo dei prodotti della ricerca scientifica LUISS,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
Iskenderun Technical University Institutional Repository,Institutional Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
Istanbul Bilgi University Library Open Access,Institutional Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
İstanbul Medipol University Institutional Repository,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
İstinye University Institutional Repository,Institutional Repository,OpenAIRE PubRepos v4.0,1,1.6373579591970396e-5
LUHS eDoc Institutional Repository,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
MAnnheim DOCument Server,Institutional Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
NaRDuS - Nacionalni repozitorijum disertacija u Srbiji,Publication Repository Aggregator,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
NOFIMA vitenarkiv,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
NUPI Research Online,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
Open Access Repository of the Scientific Information Service for Mobility and Transport Research (FID move),Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
Open-Access-Repositorium der TH Wildau,Institutional Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
OpenUCT,Institutional Repository,OpenAIRE PubRepos v4.0,1,1.6373579591970396e-5
Organic Eprints,Thematic Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",1,1.6373579591970396e-5
Publikationer från Högskolan i Jönköping,Institutional Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",1,1.6373579591970396e-5
Publikationer från Örebro universitet,Institutional Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",1,1.6373579591970396e-5
QSpace,Institutional Repository,OpenAIRE PubRepos v4.0,1,1.6373579591970396e-5
Qucosa - Publikationsserver der Universität Leipzig,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
Qucosa: Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
"RADaR -  Institute for Biological Research Sinisa Stankovic, University of Belgrade",Publication Repository Aggregator,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
Repositori Institucional URV,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
Repositório Digital do IPEN/SP - Brasil,Institutional Repository,not available,1,1.6373579591970396e-5
Repositorio Hipermedial de la Universidad Nacional de Rosario,Institutional Repository,not available,1,1.6373579591970396e-5
Repositorio Universidad de Santander - UDES,Institutional Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
Repository@Napier,Institutional Repository,collected from a compatible aggregator,1,1.6373579591970396e-5
Research SPAce,Institutional Repository,collected from a compatible aggregator,1,1.6373579591970396e-5
Scientific documents from the Saarland University,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
Scientific Electronic Library Online - Colombia,Publication Repository Aggregator,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
Solent University Research Portal,Institutional Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
Suleyman Demirel University Research Repository,Institutional Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
Swedish Institute of Computer Science Publications Database,Institutional Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
SZTE Publicatio Repozitórium - SZTE - Repository of Publications,Institutional Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
TUHH Open Research,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
UGD Academic Repository,Institutional Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
UIC Open Acces Archive,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1,1.6373579591970396e-5
Unitus DSpace,Institutional Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
"University of Gloucestershire, Research Repository",Institutional Repository,collected from a compatible aggregator,1,1.6373579591970396e-5
University of Worcester Research and Publications,Institutional Repository,collected from a compatible aggregator,1,1.6373579591970396e-5
University of Zagreb Medical School Repository,Institutional Repository,OpenAIRE Basic (DRIVER OA),1,1.6373579591970396e-5
UPCommons - Research Data,Data Repository,"OpenAIRE Data (funded, referenced datasets)",1,1.6373579591970396e-5
